id,subid,split,question,sparql,generated_sparql,num_edges,num_edges_full,num_nodes,depth,breadth,base_depth,base_breadth,subgraphs,TP,FP,FN,Precision,Recall,F1
182,21,test,Give me the war of Jagath Dias and entity in the nationality of Tamara Kunanayakam and war of Mahesh Senanayake.,SELECT ?result WHERE { <http://dbpedia.org/resource/Tamara_Kunanayakam> <http://dbpedia.org/ontology/nationality> ?v0 . <http://dbpedia.org/resource/Mahesh_Senanayake> <http://dbpedia.org/ontology/battle> ?result . <http://dbpedia.org/resource/Jagath_Dias> <http://dbpedia.org/ontology/battle> ?result . ?result <http://dbpedia.org/ontology/place> ?v0 . },"```
SELECT ?battle1 ?battle2 WHERE {
  <http://dbpedia.org/resource/Jagath_Dias> <http://dbpedia.org/ontology/battle> ?battle1 .
  <http://dbpedia.org/resource/Mahesh_Senanayake> <http://dbpedia.org/ontology/battle> ?battle2 .
  ?battle1 = ?battle2
}
```

This query will return the battles that both Jagath Dias and Mahesh Senanayake participated in, assuming they are the same.

Next, for the nationality of Tamara Kunanayakam:",4,4,5,2,3,2,3,28,0,0,1,0,0.0,0
994,44,test,"Give me the band member of the person born, that is a musical artist, as Donald Maynard Dokken and associated musical artist of the band member, that is a band and a group and an organisation, of Meshuggah and associated musical artist of S.A. Slayer.","SELECT ?result WHERE { ?v4 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Group>. ?v4 <http://dbpedia.org/ontology/associatedMusicalArtist> <http://dbpedia.org/resource/Meshuggah> . ?v0 <http://dbpedia.org/property/birthName> ""Donald Maynard Dokken""@en . <http://dbpedia.org/resource/S.A._Slayer> <http://dbpedia.org/ontology/associatedMusicalArtist> ?result . ?v4 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Organisation>. ?result <http://dbpedia.org/ontology/associatedMusicalArtist> ?v0 . ?v4 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Band>. ?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MusicalArtist>. ?v4 <http://dbpedia.org/ontology/associatedMusicalArtist> ?result . }","```
SELECT ?result WHERE {
  ?v0 <http://dbpedia.org/property/birthName> ""Donald Maynard Dokken""@en .
  ?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MusicalArtist>.
  ?result <http://dbpedia.org/ontology/associatedMusicalArtist> ?v0 .
}

SELECT ?bandMember WHERE {
  ?band <http://dbpedia.org/ontology/Band>.
  ?band <http://dbpedia.org/ontology/Organisation>.
  ?bandMember <http://dbpedia.org/ontology/memberOf> ?band .
  ?bandMember <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>.
}

SELECT ?associatedArtist WHERE {
  <http://dbpedia.org/resource/S.A._Slayer> <http://dbpedia.org/ontology/associatedMusicalArtist> ?associatedArtist .
}
```",5,9,6,2,3,3,3,71,0,0,1,0,0.0,0
294,21,test,"Give me the resting place of Edwin A. Keeble and resting place of Luke Lea (American politician, born 1879) and entity in the birth place, that is a settlement, of Marion James.","SELECT ?result WHERE { ?result <http://dbpedia.org/ontology/location> ?v0 . <http://dbpedia.org/resource/Luke_Lea_(American_politician,_born_1879)> <http://dbpedia.org/ontology/restingPlace> ?result . <http://dbpedia.org/resource/Marion_James> <http://dbpedia.org/ontology/birthPlace> ?v0 . ?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>. <http://dbpedia.org/resource/Edwin_A._Keeble> <http://dbpedia.org/ontology/restingPlace> ?result . }","SELECT ?result1 ?result2 WHERE {
  <http://dbpedia.org/resource/Edwin_A._Keeble> <http://dbpedia.org/ontology/restingPlace> ?result1 .
  <http://dbpedia.org/resource/Luke_Lea_(American_politician,_born_1879)> <http://dbpedia.org/ontology/restingPlace> ?result2 .
  
  ?marionJames <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>.
  <http://dbpedia.org/resource/Marion_James> <http://dbpedia.org/ontology/birthPlace> ?marionJames .
}",4,5,5,2,3,2,3,28,1,2,0,0.3333333333333333,1.0,0.5
9,43,test,"Give me the alma mater of John Alderdice, Baron Alderdice and alma mater of the awardee of the reference, that is an award, to Royal Medals and figure known as QUB.","SELECT ?result WHERE { ?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Award>. ?v4 <http://dbpedia.org/ontology/almaMater> ?result . ?v0 <http://xmlns.com/foaf/0.1/name> ""Royal Medals""@en . ?v4 <http://dbpedia.org/property/awards> ?v0 . <http://dbpedia.org/resource/John_Alderdice,_Baron_Alderdice> <http://dbpedia.org/ontology/almaMater> ?result . ?result <http://dbpedia.org/property/nickname> ""QUB""@en . }","```
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dbpedia: <http://dbpedia.org/ontology/>

SELECT ?almaMater_Alderdice, ?awardee_almaMater, ?qub_nick
WHERE {
  ?john_alderdice_baron_alderdice a dbpedia:Person ;
    dbpedia:birthDate ?birthDate ;
    dbpedia:deathDate ?deathDate ;
    foaf:name ""John Alderdice, Baron Alderdice"" .

  ?john_alderdice_baron_alderdice <http://dbpedia.org/ontology/almaMater> ?almaMater_Alderdice .

  ?award a dbpedia:Award ;
    rdfs:label ""Royal Medals""@en ;
    foaf:awardee ?awardee .

  ?awardee rdfs:seeAlso ?awardee_almaMater .
  
  ?qub nick ""QUB"" .
}
```

This query will:
- Find John Alderdice, Baron Alderdice.
- Extract his alma mater.
- Identify the awardee of the Royal Medals award and their alma mater.
- Retrieve the nickname of the figure known as QUB.",5,6,6,3,3,3,3,71,0,0,1,0,0.0,0
16,39,test,Give me the person born as the birth name of the alumnus of Ohio State University and professional in Actress.,"SELECT ?result WHERE { ?v0 <http://dbpedia.org/property/birthName> ?v1 . ?v0 <http://dbpedia.org/ontology/almaMater> <http://dbpedia.org/resource/Ohio_State_University> . ?result <http://dbpedia.org/property/occupation> ""Actress""@en . ?result <http://dbpedia.org/property/birthName> ?v1 . }","SELECT ?result WHERE {
  ?v1 <http://dbpedia.org/ontology/almaMater> <http://dbpedia.org/resource/Ohio_State_University> .
  ?v1 <http://dbpedia.org/property/birthName> ""Georgeanne Marie Rice""@en
}",4,4,5,3,2,3,3,71,0,0,3,0,0.0,0
179,18,test,"Give me the person born as the birth name of the child, that is a royalty, of Nakkhatra Mangala and parent of the child of Bhumibol Adulyadej.",SELECT ?result WHERE { ?result <http://dbpedia.org/property/birthName> ?v2 . ?v1 <http://dbpedia.org/property/birthName> ?v2 . <http://dbpedia.org/resource/Bhumibol_Adulyadej> <http://dbpedia.org/ontology/child> ?v3 . ?v1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>. ?v1 <http://dbpedia.org/property/father> <http://dbpedia.org/resource/Nakkhatra_Mangala> . ?v3 <http://dbpedia.org/ontology/parent> ?result . },"SELECT ?child_name
WHERE {
  ?royalty_child <http://dbpedia.org/ontology/parent> <http://dbpedia.org/resource/Nakkhatra_Mangala> .
  ?royalty_child <http://dbpedia.org/ontology/child> <http://dbpedia.org/resource/Bhumibol_Adulyadej> .
  ?child_of_nakkhatra <http://dbpedia.org/property/birthName> ?child_name
}",5,6,6,3,2,3,2,20,0,0,1,0,0.0,0
767,52,test,"Give me the alma mater of the administration of George K. Nash and reference to  and entity in the administration, that is a settlement, of the writer of Where It's At (Dustin Lynch album).","SELECT ?result WHERE { ?v2 <http://dbpedia.org/property/leaderParty> ?v3 . ?v5 <http://dbpedia.org/ontology/almaMater> ?result . ?result <http://xmlns.com/foaf/0.1/name> """"@en . <http://dbpedia.org/resource/Where_It's_At_(Dustin_Lynch_album)> <http://dbpedia.org/property/writer> ?v3 . ?v2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>. ?result <http://dbpedia.org/ontology/state> ?v2 . ?v5 <http://dbpedia.org/property/governor> <http://dbpedia.org/resource/George_K._Nash> . }","```
SELECT ?governor ?governor_almaMater ?settlement
WHERE {
  ?governor <http://dbpedia.org/property/governor> <http://dbpedia.org/resource/George_K._Nash> .
  ?governor_almaMater <http://dbpedia.org/ontology/almaMater> ?governor .
  ?settlement <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement> .
  ?governor_almaMater <http://dbpedia.org/property/name> ?settlement_name
}
```

This query first finds the governor of George K. Nash, then looks for their alma mater, and finally finds a settlement associated with that alma mater.",6,7,7,3,3,3,3,71,0,0,1,0,0.0,0
360,24,test,"Give me the reference to the author of Blinded by the Light and native of the death place, that is a settlement, of Winnie Madikizela-Mandela.",SELECT ?result WHERE { ?result <http://dbpedia.org/ontology/birthPlace> ?v2 . ?result <http://xmlns.com/foaf/0.1/name> ?v0 . <http://dbpedia.org/resource/Blinded_by_the_Light> <http://dbpedia.org/property/author> ?v0 . <http://dbpedia.org/resource/Winnie_Madikizela-Mandela> <http://dbpedia.org/ontology/deathPlace> ?v2 . ?v2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>. },"SELECT ?author WHERE { <http://dbpedia.org/resource/Blinded_by_the_Light> <http://dbpedia.org/property/author> ?author . }

AND

SELECT ?deathPlace WHERE {
    <http://dbpedia.org/resource/Winnie_Madikizela-Mandela> <http://dbpedia.org/ontology/deathPlace> ?deathPlace .
    ?deathPlace <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>.
}",4,5,5,2,2,2,3,28,0,0,1,0,0.0,0
391,47,test,"Give me the native of the figure known as Hub City and actor of the claim to fame, that is a work, of the spouse of Sherry Hormann.","SELECT ?result WHERE { <http://dbpedia.org/resource/Sherry_Hormann> <http://dbpedia.org/ontology/spouse> ?v0 . ?result <http://dbpedia.org/ontology/birthPlace> ?v2 . ?v4 <http://dbpedia.org/ontology/starring> ?result . ?v4 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Work>. ?v2 <http://dbpedia.org/property/nickname> ""Hub City""@en . ?v0 <http://dbpedia.org/ontology/knownFor> ?v4 . }","SELECT ?actor ?nativePlace
WHERE {
  ?figure <http://dbpedia.org/property/nickname> ""Hub City""@en .
  ?figure <http://dbpedia.org/ontology/work> ?work .
  ?spouseOfSherry <http://dbpedia.org/ontology/spouse> ?spouse .
  ?spouse <http://dbpedia.org/resource/Sherry_Hormann> .
  ?actor <http://dbpedia.org/ontology/starring> ?work .
  ?actor <http://dbpedia.org/property/birthPlace> ?nativePlace
}",5,6,6,3,2,3,3,71,0,0,1,0,0.0,0
55,19,test,"Give me the band member of Metallica and band of Newsted and band member of the producer, that is a band, of Used to Love Her.",SELECT ?result WHERE { <http://dbpedia.org/resource/Used_to_Love_Her> <http://dbpedia.org/ontology/producer> ?v3 . ?v3 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Band>. <http://dbpedia.org/resource/Newsted> <http://dbpedia.org/ontology/associatedMusicalArtist> ?result . ?result <http://dbpedia.org/ontology/associatedMusicalArtist> <http://dbpedia.org/resource/Metallica> . ?result <http://dbpedia.org/ontology/associatedMusicalArtist> ?v3 . },"```sparql
SELECT ?newsted_band, ?metallica_members, ?producer, ?producer_band_members
WHERE {
  # Step 1: Band of Newsted
  SELECT ?result WHERE { <http://dbpedia.org/resource/Newsted> <http://dbpedia.org/ontology/associatedMusicalArtist> ?result . }

  # Step 2: Metallica Band Members
  SELECT ?member WHERE { <http://dbpedia.org/resource/Metallica> <http://dbpedia.org/ontology/associatedMusicalArtist> ?member . }

  # Step 3: Producer of Used to Love Her and their band members
  SELECT ?producer WHERE { <http://dbpedia.org/resource/Used_to_Love_Her> <http://dbpedia.org/ontology/producer> ?producer . }
  
  SELECT DISTINCT ?band WHERE {
    ?producer <http://dbpedia.org/ontology/associatedMusicalArtist> ?band .
    ?band <http://dbpedia.org/ontology/Band>
  }
}
```",4,5,5,2,3,2,3,28,0,0,1,0,0.0,0
