id,subid,split,question,sparql,generated_sparql,num_edges,num_edges_full,num_nodes,depth,breadth,base_depth,base_breadth,subgraphs,TP,FP,FN,Precision,Recall,F1
392,21,test,"Give me the region of Central European Time and entity in Italy and province of the residence, that is a settlement and Italian, of Sebastiano Bianchetti.",SELECT ?result WHERE { ?v1 <http://dbpedia.org/ontology/province> ?result . ?v1 <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Italy>. ?result <http://dbpedia.org/ontology/timeZone> <http://dbpedia.org/resource/Central_European_Time> . ?v1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>. ?result <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Italy> . <http://dbpedia.org/resource/Sebastiano_Bianchetti> <http://dbpedia.org/property/residence> ?v1 . },"```sparql
SELECT ?region ?entityInItaly ?province WHERE {
  # Find the region associated with Central European Time
  <http://dbpedia.org/resource/Central_European_Time> <http://www.w3.org/2000/01/rdf-schema#seeAlso> ?timeZone .
  ?timeZone <http://dbpedia.org/ontology/timeZone> ?region .

  # Find an entity in Italy
  ?entityInItaly <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Italy> .

  # Find the residence of Sebastiano Bianchetti, which is a settlement and Italian
  <http://dbpedia.org/resource/Sebastiano_Bianchetti> <http://dbpedia.org/property/residence> ?residence .
  ?residence <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement> .
  ?residence <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Italy> .

  # Find the province of the residence
  ?residence <http://dbpedia.org/ontology/province> ?province .
}
```",4,6,5,2,3,2,3,28,0,0,1,0,0.0,0
421,24,test,Give me the person born as the birth name of Dino Merlin and native of the birthplace of Samir Bekrić.,SELECT ?result WHERE { ?result <http://dbpedia.org/ontology/birthPlace> ?v2 . <http://dbpedia.org/resource/Dino_Merlin> <http://dbpedia.org/property/birthName> ?v1 . ?result <http://dbpedia.org/property/birthName> ?v1 . <http://dbpedia.org/resource/Samir_Bekrić> <http://dbpedia.org/ontology/birthPlace> ?v2 . },"```sparql
SELECT ?person WHERE {
  ?dino dbpedia-owl:birthName ?merlinBirthName .
  ?samir dbpedia-owl:birthPlace ?bekricBirthPlace .
  ?person dbpedia-owl:birthName ?merlinBirthName .
  ?person dbpedia-ontology:nativeOf ?bekricBirthPlace .
}
```",4,4,5,2,2,2,3,28,0,0,1,0,0.0,0
427,55,test,"Give me the party of the person born, that is an office holder and a politician, as Romano Antonio Prodi and reference to the name of Italian People's Party (1994) and party of the father of Lamberto Andreotti.","SELECT ?result WHERE { ?v2 <http://dbpedia.org/property/birthName> ""Romano Antonio Prodi""@en . ?v2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>. <http://dbpedia.org/resource/Lamberto_Andreotti> <http://dbpedia.org/property/father> ?v5 . ?v2 <http://dbpedia.org/ontology/party> ?result . ?v5 <http://dbpedia.org/ontology/party> ?result . ?result <http://xmlns.com/foaf/0.1/name> ?v3 . ?v2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Politician>. <http://dbpedia.org/resource/Italian_People's_Party_(1994)> <http://xmlns.com/foaf/0.1/name> ?v3 . }","```sparql
# Step 1: Identify Romano Antonio Prodi as an office holder and politician
SELECT ?prodi WHERE {
    ?prodi <http://dbpedia.org/ontology/birthName> ""Romano Antonio Prodi"" .
    ?prodi <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder> .
    ?prodi <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Politician> .
}

# Step 2: Ensure reference to Italian People's Party (1994)
SELECT ?party WHERE {
    ?prodi <http://dbpedia.org/property/reference> ?reference .
    ?reference <http://www.w3.org/2000/01/rdf-schema#label> ""Italian People's Party (1994)""@en .
}

# Step 3: Get the party of Romano Antonio Prodi
SELECT ?prodisParty WHERE {
    ?prodi <http://dbpedia.org/ontology/party> ?prodisParty .
}

# Step 4: Find Lamberto Andreotti's father and his party
SELECT ?father, ?fathersParty WHERE {
    ?andreotti <http://dbpedia.org/property/father> ?father .
    ?father <http://dbpedia.org/ontology/party> ?fathersParty .
    ?andreotti <http://www.w3.org/2000/01/rdf-schema#label> ""Lamberto Andreotti""@en .
}

# Step 5: Match the parties
SELECT DISTINCT ?prodisParty WHERE {
    { SELECT ?prodi ?prodisParty WHERE {
        ?prodi <http://dbpedia.org/ontology/birthName> ""Romano Antonio Prodi"" .
        ?prodi <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder> .
        ?prodi <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Politician> .
        ?prodi <http://dbpedia.org/property/reference> ?reference .
        ?reference <http://www.w3.org/2000/01/rdf-schema#label> ""Italian People's Party (1994)""@en .
        ?prodi <http://dbpedia.org/ontology/party> ?prodisParty .
    }}
    
    { SELECT ?father, ?fathersParty WHERE {
        ?andreotti <http://dbpedia.org/property/father> ?father .
        ?father <http://dbpedia.org/ontology/party> ?fathersParty .
        ?andreotti <http://www.w3.org/2000/01/rdf-schema#label> ""Lamberto Andreotti""@en .
    }}
    
    FILTER(?prodisParty = ?fathersParty)
}
```",6,8,7,2,3,3,3,71,0,0,1,0,0.0,0
996,19,test,Give me the force of the awardee of 1778.0 and entity in the award of the native of Palestine (region).,"SELECT ?result WHERE { ?v2 <http://dbpedia.org/property/awards> ""1778.0""^^<http://www.w3.org/2001/XMLSchema#double> . ?result <http://dbpedia.org/ontology/place> ?v4 . ?v0 <http://dbpedia.org/property/awards> ?v4 . ?v0 <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Palestine_(region)> . ?result <http://dbpedia.org/ontology/commander> ?v2 . }","```sparql
SELECT ?force WHERE {
    ?entity <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Palestine_(region)> .
    ?entity <http://dbpedia.org/property/awards> ?award .
    ?award <http://www.w3.org/2000/01/rdf-schema#seeAlso> ?awardResource .
    ?awardResource <http://purl.org/dc/terms/date> ""1778""^^xsd:decimal .
    ?entity <http://dbpedia.org/ontology/militaryForce> ?force .
}
```",5,5,6,3,2,3,2,20,0,0,4,0,0.0,0
184,64,test,"Give me the parent of the child of the parent of Archduchess Margaret of Austria (born 1925) and parent of the native of the landmark at elevation, that is a settlement, of 96.0 and child of Archduke Joseph August of Austria.","SELECT ?result WHERE { ?result <http://dbpedia.org/ontology/child> ?v2 . ?result <http://dbpedia.org/property/father> <http://dbpedia.org/resource/Archduke_Joseph_August_of_Austria> . ?v3 <http://dbpedia.org/ontology/elevation> ""96.0""^^<http://www.w3.org/2001/XMLSchema#double> . ?v2 <http://dbpedia.org/ontology/birthPlace> ?v3 . ?v0 <http://dbpedia.org/ontology/child> <http://dbpedia.org/resource/Archduchess_Margaret_of_Austria_(born_1925)> . ?v3 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>. ?result <http://dbpedia.org/ontology/child> ?v1 . ?v1 <http://dbpedia.org/property/father> ?v0 . }","```sparql
# Step 1: Find Archduchess Margaret's parent
SELECT ?parentMargaret WHERE {
    <http://dbpedia.org/resource/Archduchess_Margaret_of_Austria_(born_1925)> <http://www.w3.org/2000/01/rdf-schema#parent> ?parentMargaret .
}

# Step 2: Find the child of Archduchess Margaret's parent
SELECT ?childParent WHERE {
    ?parentMargaret <http://dbpedia.org/ontology/child> ?childParent .
}

# Step 3: Identify the native of a landmark at elevation 96.0, which is a settlement
SELECT ?nativeLandmark WHERE {
    ?landmark <http://www.w3.org/2000/01/rdf-schema#elevation> ""96.0""^^xsd:float ;
              <http://dbpedia.org/ontology/type> <http://dbpedia.org/resource/Settlement> .
    ?nativeLandmark <http://dbpedia.org/property/nativeOf> ?landmark .
}

# Step 4: Find the child of Archduke Joseph August
SELECT ?childJoseph WHERE {
    <http://dbpedia.org/resource/Archduke_Joseph_August_of_Austria> <http://www.w3.org/2000/01/rdf-schema#child> ?childJoseph .
}

# Step 5: Find the parent of both the child from step 2 and the native from step 3
SELECT DISTINCT ?parent WHERE {
    ?parent <http://dbpedia.org/ontology/child> ?childParent .
    ?parent <http://dbpedia.org/ontology/child> ?nativeLandmark .
}
```",7,8,8,3,3,3,3,71,0,0,1,0,0.0,0
492,46,test,"Give me the person decedent at the work of the author of French Algeria and commander in the war, that is a military conflict and an event, of Frédéric-Georges Herr.",SELECT ?result WHERE { ?v4 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Event>. ?v1 <http://dbpedia.org/property/author> ?v2 . ?result <http://dbpedia.org/ontology/deathPlace> ?v1 . ?v4 <http://dbpedia.org/ontology/commander> ?result . <http://dbpedia.org/resource/French_Algeria> <http://dbpedia.org/property/author> ?v2 . <http://dbpedia.org/resource/Frédéric-Georges_Herr> <http://dbpedia.org/ontology/battle> ?v4 . ?v4 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MilitaryConflict>. },"```sparql
# Step 1: Find the war that is both a military conflict and an event associated with Frédéric-Georges Herr as a commander.
SELECT ?war WHERE {
    ?war rdf:type dbo:MilitaryConflict .
    ?war rdf:type dbo:Event .
    <http://dbpedia.org/resource/Frédéric-Georges_Herr> dbo:commander ?war .
}

# Step 2: Find the author of ""French Algeria.""
SELECT ?author WHERE {
    ?book dbo:title ""French Algeria""@en .
    ?book dbo:author ?author .
}

# Step 3: Determine the significant work location or place of employment for this author.
SELECT ?workLocation WHERE {
    ?author dbo:almaMater ?workLocation .
    # Alternatively, if almaMater is not available:
    # ?author dbo:employer ?workLocation .
}

# Step 4: Identify the person who died at this location.
SELECT ?decedent WHERE {
    ?deathEvent dbo:place ?workLocation .
    ?deathEvent dbo:deceased ?decedent .
}
```",5,7,6,3,2,3,3,71,0,0,1,0,0.0,0
427,20,test,Give me the reference to Partito Popolare Italiano and party of the father of Lamberto Andreotti.,"SELECT ?result WHERE { ?v2 <http://dbpedia.org/ontology/party> ?result . <http://dbpedia.org/resource/Lamberto_Andreotti> <http://dbpedia.org/property/father> ?v2 . ?result <http://xmlns.com/foaf/0.1/name> ""Partito Popolare Italiano""@en . }","```sparql
# Query to get the reference (URI) for Partito Popolare Italiano
SELECT ?partitoPopolareItaliano WHERE {
  ?partitoPopolareItaliano a dbo:PoliticalParty ;
                         rdfs:label ""Partito Popolare Italiano""@en .
}

# Query to find the party of Lamberto Andreotti's father
SELECT ?fatherParty WHERE {
  ?lambertoAndreotti dbo:father ?father .
  ?father dbo:partyAffiliation ?fatherParty .
  ?lambertoAndreotti rdfs:label ""Lamberto Andreotti""@en .
}
```",3,3,4,2,2,3,3,71,0,0,1,0,0.0,0
747,61,test,"Give me the band of the person born as the persona of Shèna and band of the writer of the work, that is a song, of Amba Shepherd.",SELECT ?result WHERE { ?v0 <http://dbpedia.org/property/writer> <http://dbpedia.org/resource/Amba_Shepherd> . ?v3 <http://dbpedia.org/property/birthName> ?v1 . ?v5 <http://dbpedia.org/ontology/associatedMusicalArtist> ?result . ?v0 <http://dbpedia.org/property/writer> ?v5 . <http://dbpedia.org/resource/Shèna> <http://xmlns.com/foaf/0.1/givenName> ?v1 . ?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Song>. ?v3 <http://dbpedia.org/ontology/associatedMusicalArtist> ?result . },"```sparql
# Query 1: Band of the person born as Shèna
SELECT ?band WHERE {
    ?person <http://dbpedia.org/ontology/birthName> ""Shèna"" .
    ?person <http://dbpedia.org/property/memberOf> ?band .
}

UNION

# Query 2: Band of the writer of the song Amba Shepherd
SELECT ?band WHERE {
    ?song <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Song> ;
          <http://purl.org/dc/terms/title> ""Amba Shepherd"" .
    ?song <http://dbpedia.org/property/writer> ?writer .
    ?writer <http://dbpedia.org/property/memberOf> ?band .
}
```",6,7,7,3,2,3,3,71,0,0,1,0,0.0,0
328,44,test,"Give me the awardee of Order of Suvorov and commander in the force of Ferenc Szálasi and leader of the office, that is a government agency, of Joseph Stalin.",SELECT ?result WHERE { ?v4 <http://dbpedia.org/ontology/commander> <http://dbpedia.org/resource/Ferenc_Szálasi> . ?result <http://dbpedia.org/property/awards> <http://dbpedia.org/resource/Order_of_Suvorov> . <http://dbpedia.org/resource/Joseph_Stalin> <http://dbpedia.org/property/office> ?v2 . ?v4 <http://dbpedia.org/ontology/commander> ?result . ?v2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/GovernmentAgency>. ?v2 <http://dbpedia.org/ontology/leader> ?result . },"```sparql
SELECT ?entity WHERE {
  ?entity <http://dbpedia.org/ontology/awardee> <http://dbpedia.org/resource/Order_of_Suvorov>.
  ?entity <http://dbpedia.org/ontology/commander> ?force.
  ?force <http://dbpedia.org/property/leader> <http://dbpedia.org/resource/Ferenc_Szálasi>.
  ?entity <http://dbpedia.org/ontology/leader> ?office.
  ?office <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/GovernmentAgency>.
  ?office <http://dbpedia.org/property/leader> <http://dbpedia.org/resource/Joseph_Stalin>.
}
```",5,6,6,2,3,3,3,71,0,0,1,0,0.0,0
294,28,test,"Give me the resting place of the architect of P. D. Houston Jr. House and entity in the birth place, that is a settlement, of Marion James and resting place of the awardee, that is a politician, of Distinguished Service Medal (U.S. Army).",SELECT ?result WHERE { ?v1 <http://dbpedia.org/ontology/restingPlace> ?result . ?result <http://dbpedia.org/ontology/location> ?v5 . ?v3 <http://dbpedia.org/ontology/restingPlace> ?result . ?v1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Politician>. <http://dbpedia.org/resource/P._D._Houston_Jr._House> <http://dbpedia.org/ontology/architect> ?v3 . ?v5 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>. <http://dbpedia.org/resource/Marion_James> <http://dbpedia.org/ontology/birthPlace> ?v5 . ?v1 <http://dbpedia.org/property/awards> <http://dbpedia.org/resource/Distinguished_Service_Medal_(U.S._Army)> . },"```sparql
# Part 1: Resting place of the architect of P. D. Houston Jr. House
SELECT ?architectRestingPlace WHERE {
    ?house dbo:architect ?architect .
    ?house rdfs:label ""P. D. Houston Jr. House"" .
    ?architect dbo:deathPlace ?architectRestingPlace .
}

# Part 2: Entity in the birthplace, that is a settlement, of Marion James
SELECT ?entity WHERE {
    ?marion dbo:birthPlace ?birthPlace .
    ?marion rdfs:label ""Marion James"" .
    ?birthPlace rdf:type dbo:Settlement .
    ?birthPlace dbo:location ?entity .
}

# Part 3: Resting place of the awardee, that is a politician, of Distinguished Service Medal (U.S. Army)
SELECT ?politicianRestingPlace WHERE {
    ?awardee dbo:award ""Distinguished Service Medal (U.S. Army)"" .
    ?awardee rdf:type dbo:Politician .
    ?awardee dbo:deathPlace ?politicianRestingPlace .
}
```",6,8,7,2,3,2,3,28,0,0,1,0,0.0,0
