id,subid,split,question,sparql,generated_sparql,num_edges,num_edges_full,num_nodes,depth,breadth,base_depth,base_breadth,subgraphs,TP,FP,FN,Precision,Recall,F1
465,68,test,"Give me the successor of the child, that is a royalty, of Anne of Brittany and successor of the child of the parent of Ercole II d'Este, Duke of Ferrara and spouse of the child, that is a royalty, of the parent of Elizabeth of Austria (1526–1545).","SELECT ?result WHERE { ?result <http://dbpedia.org/ontology/spouse> ?v7 . <http://dbpedia.org/resource/Anne_of_Brittany> <http://dbpedia.org/ontology/child> ?v3 . <http://dbpedia.org/resource/Ercole_II_d'Este,_Duke_of_Ferrara> <http://dbpedia.org/ontology/parent> ?v5 . ?v0 <http://dbpedia.org/ontology/child> ?v7 . ?v3 <http://dbpedia.org/ontology/successor> ?result . ?v4 <http://dbpedia.org/property/father> ?v5 . ?v0 <http://dbpedia.org/ontology/child> <http://dbpedia.org/resource/Elizabeth_of_Austria_(1526–1545)> . ?v7 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>. ?v4 <http://dbpedia.org/ontology/successor> ?result . ?v3 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>. }","SELECT ?successor WHERE { 
  ?child1 <http://dbpedia.org/ontology/parent> <http://dbpedia.org/resource/Anne_of_Brittany> . 
  ?child1 <http://dbpedia.org/ontology/successor> ?successor1 . 
  ?parent2 <http://dbpedia.org/ontology/child> <http://dbpedia.org/resource/Ercole_II_d'Este,_Duke_of_Ferrara> . 
  ?child2 <http://dbpedia.org/ontology/parent> ?parent2 . 
  ?child2 <http://dbpedia.org/ontology/successor> ?successor2 . 
  ?parent3 <http://dbpedia.org/ontology/child> <http://dbpedia.org/resource/Elizabeth_of_Austria_(1526–1545)> . 
  ?child3 <http://dbpedia.org/ontology/parent> ?parent3 . 
  ?child3 <http://dbpedia.org/ontology/spouse> ?spouse . 
  ?spouse <http://dbpedia.org/ontology/successor> ?successor3 . 
}",8,10,9,3,3,3,3,71,0,0,1,0,0.0,0
417,64,test,"Give me the child of Christian X of Denmark and spouse of the parent, that is a royalty, of the child of Knud, Hereditary Prince of Denmark and child of the child, that is a royalty, of the parent, that is a royalty, of Alexandrine of Mecklenburg-Schwerin.","SELECT ?result WHERE { ?v1 <http://dbpedia.org/property/father> ?v0 . ?v2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>. <http://dbpedia.org/resource/Alexandrine_of_Mecklenburg-Schwerin> <http://dbpedia.org/ontology/parent> ?v0 . ?result <http://dbpedia.org/property/father> <http://dbpedia.org/resource/Christian_X_of_Denmark> . ?v1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>. ?result <http://dbpedia.org/ontology/spouse> ?v2 . ?result <http://dbpedia.org/ontology/parent> ?v1 . ?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>. ?v2 <http://dbpedia.org/ontology/child> ?v3 . ?v3 <http://dbpedia.org/property/father> <http://dbpedia.org/resource/Knud,_Hereditary_Prince_of_Denmark> . }","SELECT ?result WHERE { 
  ?child1 <http://dbpedia.org/ontology/parent> <http://dbpedia.org/resource/Christian_X_of_Denmark> . 
  ?child2 <http://dbpedia.org/ontology/parent> <http://dbpedia.org/resource/Knud,_Hereditary_Prince_of_Denmark> . 
  ?spouse <http://dbpedia.org/ontology/spouse> ?parent1 . 
  ?parent1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty> . 
  ?parent2 <http://dbpedia.org/ontology/parent> <http://dbpedia.org/resource/Alexandrine_of_Mecklenburg-Schwerin> . 
  ?child2 <http://dbpedia.org/ontology/parent> ?parent2 . 
  ?result <http://dbpedia.org/ontology/parent> ?child2 . 
}",7,10,8,3,3,3,3,71,0,0,1,0,0.0,0
917,67,test,"Give me the child of the father of the child, that is a royalty, of Kamehameha III and parent of Albert Kamehameha and child of the father of the spouse, that is a royalty, of Leleiohoku I.",SELECT ?result WHERE { ?v1 <http://dbpedia.org/ontology/spouse> <http://dbpedia.org/resource/Leleiohoku_I> . ?v1 <http://dbpedia.org/property/father> ?v5 . ?v1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>. ?result <http://dbpedia.org/ontology/child> <http://dbpedia.org/resource/Albert_Kamehameha> . ?result <http://dbpedia.org/property/father> ?v0 . <http://dbpedia.org/resource/Kamehameha_III> <http://dbpedia.org/ontology/child> ?v4 . ?v4 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>. ?v4 <http://dbpedia.org/property/father> ?v0 . ?result <http://dbpedia.org/ontology/parent> ?v5 . },"SELECT ?result WHERE { 
  ?child1 <http://dbpedia.org/ontology/parent> <http://dbpedia.org/resource/Kamehameha_III> . 
  ?child1 <http://dbpedia.org/ontology/royalty> ?royalty1 . 
  ?father1 <http://dbpedia.org/ontology/child> ?child1 . 
  ?result <http://dbpedia.org/ontology/parent> ?father1 . 
  <http://dbpedia.org/resource/Albert_Kamehameha> <http://dbpedia.org/ontology/parent> ?father1 . 
  ?spouse <http://dbpedia.org/ontology/spouse> <http://dbpedia.org/resource/Leleiohoku_I> . 
  ?father2 <http://dbpedia.org/ontology/child> ?spouse . 
  ?father2 <http://dbpedia.org/ontology/royalty> ?royalty2 . 
}",7,9,8,3,3,3,3,71,0,0,1,0,0.0,0
5,18,test,"Give me the entity in the award of Coro de la Pontificia Universidad Católica de Puerto Rico and birthplace of the person born, that is a politician, as the award of Renata Adler.",SELECT ?result WHERE { ?v3 <http://dbpedia.org/property/birthName> ?v2 . ?result <http://dbpedia.org/ontology/country> ?v0 . <http://dbpedia.org/resource/Coro_de_la_Pontificia_Universidad_Católica_de_Puerto_Rico> <http://dbpedia.org/property/awards> ?v0 . <http://dbpedia.org/resource/Renata_Adler> <http://dbpedia.org/property/awards> ?v2 . ?v3 <http://dbpedia.org/ontology/birthPlace> ?result . ?v3 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Politician>. },"SELECT ?result WHERE { 
  ?politician <http://dbpedia.org/ontology/award> <http://dbpedia.org/resource/Coro_de_la_Pontificia_Universidad_Católica_de_Puerto_Rico> . 
  ?politician <http://dbpedia.org/ontology/birthPlace> ?result . 
  <http://dbpedia.org/resource/Renata_Adler> <http://dbpedia.org/ontology/award> ?award . 
}",5,6,6,3,2,3,2,20,0,0,2,0,0.0,0
459,26,test,"Give me the governor of the death place, that is a settlement, of Cliff Roquemore and governor of Dana Murphy and person born as the birth name of Kevin Stitt.",SELECT ?result WHERE { ?v1 <http://dbpedia.org/property/governor> ?result . <http://dbpedia.org/resource/Dana_Murphy> <http://dbpedia.org/property/governor> ?result . ?result <http://dbpedia.org/property/birthName> ?v2 . <http://dbpedia.org/resource/Kevin_Stitt> <http://dbpedia.org/property/birthName> ?v2 . ?v1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>. <http://dbpedia.org/resource/Cliff_Roquemore> <http://dbpedia.org/ontology/deathPlace> ?v1 . },"SELECT ?result WHERE { 
  ?cliff <http://dbpedia.org/ontology/deathPlace> ?settlement . 
  ?settlement <http://dbpedia.org/ontology/governor> ?result . 
  <http://dbpedia.org/resource/Dana_Murphy> <http://dbpedia.org/ontology/governor> ?result . 
  ?kevin <http://dbpedia.org/property/birthName> ""Kevin Stitt""@en . 
}",5,6,6,2,3,2,3,28,0,0,1,0,0.0,0
329,27,test,"Give me the entity in the birthplace, that is an organisation and a country, of Robert Bates (loyalist) and entity in the region, that is a country, of Western European Time and birthplace of Eric Cross (writer).",SELECT ?result WHERE { ?result <http://dbpedia.org/ontology/country> ?v0 . <http://dbpedia.org/resource/Robert_Bates_(loyalist)> <http://dbpedia.org/ontology/birthPlace> ?v0 . <http://dbpedia.org/resource/Eric_Cross_(writer)> <http://dbpedia.org/ontology/birthPlace> ?result . ?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Organisation>. ?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country>. ?v3 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country>. ?result <http://dbpedia.org/ontology/country> ?v3 . ?v3 <http://dbpedia.org/property/timeZone> <http://dbpedia.org/resource/Western_European_Time> . },"SELECT ?result WHERE { 
  ?birthplace1 <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Robert_Bates_(loyalist)> . 
  ?birthplace1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Organisation> . 
  ?birthplace1 <http://dbpedia.org/ontology/country> ?country1 . 
  ?country1 <http://dbpedia.org/ontology/timeZone> <http://dbpedia.org/resource/Western_European_Time> . 
  ?birthplace2 <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Eric_Cross_(writer)> . 
  ?birthplace2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . 
}",5,8,6,2,3,2,3,28,0,0,1,0,0.0,0
47,56,test,"Give me the office of the administration of Jagdeep Dhankhar and office of Bidesh Ranjan Bose and office of the awardee of the entity, that is an award, in India.",SELECT ?result WHERE { ?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Award>. ?v2 <http://dbpedia.org/property/governor> <http://dbpedia.org/resource/Jagdeep_Dhankhar> . <http://dbpedia.org/resource/Bidesh_Ranjan_Bose> <http://dbpedia.org/property/office> ?result . ?v2 <http://dbpedia.org/property/office> ?result . ?v0 <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/India> . ?v1 <http://dbpedia.org/property/office> ?result . ?v1 <http://dbpedia.org/property/awards> ?v0 . },"SELECT ?officeDhankhar ?officeBose ?officeAwardee WHERE { 
  <http://dbpedia.org/resource/Jagdeep_Dhankhar> <http://dbpedia.org/ontology/office> ?officeDhankhar . 
  <http://dbpedia.org/resource/Bidesh_Ranjan_Bose> <http://dbpedia.org/ontology/office> ?officeBose . 
  ?awardee <http://dbpedia.org/ontology/award> ?award . 
  ?award <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/India> . 
  ?awardee <http://dbpedia.org/ontology/office> ?officeAwardee . 
}",6,7,7,3,3,3,3,71,0,0,1,0,0.0,0
865,68,test,"Give me the native of the residence, that is a country, of the person decedent at Patna and father of the child, that is a politician, of the spouse of Syeda Shahar Banu and father of the child of Abu Ahmad Abdul Hafiz.",SELECT ?result WHERE { ?v5 <http://dbpedia.org/property/father> ?v2 . ?v4 <http://dbpedia.org/property/father> ?result . ?v5 <http://dbpedia.org/property/father> ?result . ?v4 <http://dbpedia.org/property/father> <http://dbpedia.org/resource/Abu_Ahmad_Abdul_Hafiz> . <http://dbpedia.org/resource/Syeda_Shahar_Banu> <http://dbpedia.org/ontology/spouse> ?v2 . ?result <http://dbpedia.org/ontology/birthPlace> ?v0 . ?v1 <http://dbpedia.org/ontology/deathPlace> <http://dbpedia.org/resource/Patna> . ?v5 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Politician>. ?v1 <http://dbpedia.org/property/residence> ?v0 . ?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country>. },"SELECT ?country WHERE { 
  ?spouse <http://dbpedia.org/ontology/spouse> <http://dbpedia.org/resource/Syeda_Shahar_Banu> . 
  ?child1 <http://dbpedia.org/ontology/parent> ?spouse . 
  ?child2 <http://dbpedia.org/ontology/parent> <http://dbpedia.org/resource/Abu_Ahmad_Abdul_Hafiz> . 
  ?child1 <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Patna> . 
  ?country <http://dbpedia.org/ontology/residence> ?child1 . 
  ?country <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . 
}",8,10,9,3,3,3,3,71,0,0,1,0,0.0,0
865,67,test,"Give me the father of the child of the father of Abul Maal Abdul Muhith and native of British Raj and father of the child, that is a politician, of the spouse of Syeda Shahar Banu.",SELECT ?result WHERE { ?result <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/British_Raj> . ?v3 <http://dbpedia.org/property/father> ?v2 . ?v3 <http://dbpedia.org/property/father> ?result . <http://dbpedia.org/resource/Syeda_Shahar_Banu> <http://dbpedia.org/ontology/spouse> ?v1 . ?v5 <http://dbpedia.org/property/father> ?result . ?v5 <http://dbpedia.org/property/father> ?v1 . <http://dbpedia.org/resource/Abul_Maal_Abdul_Muhith> <http://dbpedia.org/property/father> ?v2 . ?v5 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Politician>. },"SELECT ?result WHERE { 
  ?father1 <http://dbpedia.org/ontology/child> <http://dbpedia.org/resource/Abul_Maal_Abdul_Muhith> . 
  ?child1 <http://dbpedia.org/ontology/parent> ?father1 . 
  ?spouse <http://dbpedia.org/ontology/spouse> <http://dbpedia.org/resource/Syeda_Shahar_Banu> . 
  ?child2 <http://dbpedia.org/ontology/parent> ?spouse . 
  ?child2 <http://dbpedia.org/ontology/occupation> ""Politician""@en . 
  ?result <http://dbpedia.org/ontology/child> ?child2 . 
  ?result <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/British_Raj> . 
}",7,8,8,3,3,3,3,71,0,0,1,0,0.0,0
965,69,test,"Give me the spouse of the spouse of the parent of Louise Mountbatten and parent of the person born, that is a noble, as the birth name of George Mountbatten, 2nd Marquess of Milford Haven and parent of the child, that is a royalty, of Prince Louis of Battenberg.","SELECT ?result WHERE { ?v6 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>. <http://dbpedia.org/resource/George_Mountbatten,_2nd_Marquess_of_Milford_Haven> <http://dbpedia.org/property/birthName> ?v5 . ?v4 <http://dbpedia.org/ontology/spouse> ?v2 . ?result <http://dbpedia.org/ontology/spouse> ?v2 . ?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Noble>. ?v6 <http://dbpedia.org/ontology/parent> ?result . ?v6 <http://dbpedia.org/property/father> <http://dbpedia.org/resource/Prince_Louis_of_Battenberg> . ?v0 <http://dbpedia.org/ontology/parent> ?result . ?v0 <http://dbpedia.org/property/birthName> ?v5 . <http://dbpedia.org/resource/Louise_Mountbatten> <http://dbpedia.org/ontology/parent> ?v4 . }","SELECT ?result WHERE { 
  ?parentLouise <http://dbpedia.org/ontology/child> <http://dbpedia.org/resource/Louise_Mountbatten> . 
  ?spouseParent <http://dbpedia.org/ontology/spouse> ?parentLouise . 
  ?result <http://dbpedia.org/ontology/spouse> ?spouseParent . 
  ?noble <http://dbpedia.org/property/birthName> ""George Mountbatten, 2nd Marquess of Milford Haven""@en . 
  ?noble <http://dbpedia.org/ontology/parent> ?parentNoble . 
  ?royalty <http://dbpedia.org/ontology/child> ?noble . 
  ?royalty <http://dbpedia.org/ontology/parent> <http://dbpedia.org/resource/Prince_Louis_of_Battenberg> . 
}",8,10,9,3,3,3,3,71,0,0,2,0,0.0,0
