id,subid,split,question,sparql,generated_sparql,num_edges,num_edges_full,num_nodes,depth,breadth,base_depth,base_breadth,subgraphs,TP,FP,FN,Precision,Recall,F1
495,18,test,Give me the child of the father of the parent of Princess Catherine of Württemberg and father of the child of Princess Charlotte of Saxe-Hildburghausen.,SELECT ?result WHERE { ?v1 <http://dbpedia.org/ontology/child> <http://dbpedia.org/resource/Princess_Catherine_of_Württemberg> . ?v3 <http://dbpedia.org/ontology/parent> <http://dbpedia.org/resource/Princess_Charlotte_of_Saxe-Hildburghausen> . ?v3 <http://dbpedia.org/property/father> ?result . ?v1 <http://dbpedia.org/property/father> ?v2 . ?result <http://dbpedia.org/property/father> ?v2 . },"SELECT ?result WHERE {
  ?father_of_catherine <http://dbpedia.org/property/father> ?catherine_father .
  ?child_of_charlotte <http://dbpedia.org/ontology/parent> ?charlotte_parent .
  ?charlotte_parent <http://dbpedia.org/property/father> ?saxe_hildburghausen_father .
  ?result <http://dbpedia.org/property/father> ?saxe_hildburghausen_father .
}",5,5,6,3,2,3,2,20,0,11,1,0.0,0.0,0
456,66,test,"Give me the band of the band, that is a musical artist, of the band of Alan Doyle and spouse of the actor of Pacific Drive and professional in the alter ego of The Shadow.",SELECT ?result WHERE { ?result <http://dbpedia.org/property/occupation> ?v6 . ?v3 <http://dbpedia.org/ontology/spouse> ?result . ?v1 <http://dbpedia.org/ontology/associatedMusicalArtist> ?v2 . <http://dbpedia.org/resource/The_Shadow> <http://dbpedia.org/property/alterEgo> ?v6 . <http://dbpedia.org/resource/Alan_Doyle> <http://dbpedia.org/ontology/associatedMusicalArtist> ?v1 . ?v2 <http://dbpedia.org/ontology/associatedMusicalArtist> ?result . <http://dbpedia.org/resource/Pacific_Drive> <http://dbpedia.org/property/starring> ?v3 . ?v2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MusicalArtist>. },"SELECT ?result WHERE {
  <http://dbpedia.org/resource/Alan_Doyle> <http://dbpedia.org/ontology/associatedMusicalArtist> ?musicalArtist .
  ?musicalArtist rdfs:label ""The Rankin Family""@en .
  
  <http://dbpedia.org/resource/Ross_Newton> <http://dbpedia.org/property/spouse> ?spouse .
  
  ?spouse a <http://dbpedia.org/ontology/MusicalArtist> .
  
  ?spouse rdfs:label ""Alter Ego""@en .
  
  ?spouse <http://dbpedia.org/property/associatedMusicalArtist> ?musicalArtist .
}",7,8,8,3,3,3,3,71,0,0,1,0,0.0,0
170,24,test,Give me the birth place of the awardee of People's Artist of Russia and domain of the profession of John Scholey.,SELECT ?result WHERE { ?v2 <http://dbpedia.org/ontology/birthPlace> ?result . <http://dbpedia.org/resource/John_Scholey> <http://dbpedia.org/property/occupation> ?v0 . ?v2 <http://dbpedia.org/property/awards> <http://dbpedia.org/resource/People's_Artist_of_Russia> . ?result <http://dbpedia.org/ontology/leaderTitle> ?v0 . },"```
# Query for the birth place of the awardee of People's Artist of Russia
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX dbo: <http://dbpedia.org/ontology/>

SELECT ?birthPlace WHERE {
  ?awardee dbo:awards <http://dbpedia.org/resource/People's_Artist_of_Russia> .
  ?awardee dbo:birthPlace ?birthPlace
}

# Query for the domain of John Scholey's profession
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX dbo: <http://dbpedia.org/ontology/>

SELECT ?domain WHERE {
  <http://dbpedia.org/resource/John_Scholey> dbo:occupation ?profession .
  ?profession dbo:leaderTitle ""Mayor""@en .
  ?profession dbo:countries ?domain
}
```",4,4,5,2,2,2,3,28,0,0,3,0,0.0,0
236,19,test,"Give me the party member of the administration of the reference, that is an office holder and a politician, to James Madison and party member of the administration, that is an organisation, of John Adams.","SELECT ?result WHERE { ?v4 <http://dbpedia.org/property/leader> ?v0 . ?v2 <http://dbpedia.org/property/leader> <http://dbpedia.org/resource/John_Adams> . ?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Politician>. ?v0 <http://xmlns.com/foaf/0.1/name> ""James Madison""@en . ?result <http://dbpedia.org/ontology/party> ?v2 . ?v2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Organisation>. ?result <http://dbpedia.org/ontology/party> ?v4 . ?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>. }","```
SELECT ?result
WHERE {
  ?madisonPartyMember <http://dbpedia.org/ontology/party> <http://dbpedia.org/resource/Democratic-Republican_Party> .
  ?madisonOfficeHolder <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>.
  ?madisonOfficeHolder <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Politician>.
  
  ?adamsAdmin <http://dbpedia.org/property/leader> <http://dbpedia.org/resource/John_Adams> .
  ?adamsAdmin <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Organisation>.
  
  ?adamsPartyMember IN (
    SELECT ?partyMember
    WHERE {
      ?partyMember <http://dbpedia.org/ontology/party> <http://dbpedia.org/resource/Federalist_Party> .
      ?partyMember <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Politician>.
    }
  )
}
```

This query will return the party member of James Madison's administration and the party members of John Adams' administration.",5,8,6,3,2,3,2,20,0,0,19,0,0.0,0
987,57,test,"Give me the entity in the region, that is a country, of Central European Time and birth place of Dado Polumenta and birth place of the actor of the show, that is a film, with Emir Hadžihafizbegović.",SELECT ?result WHERE { ?result <http://dbpedia.org/ontology/country> ?v0 . ?v1 <http://dbpedia.org/property/starring> ?v4 . ?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country>. ?v1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>. <http://dbpedia.org/resource/Dado_Polumenta> <http://dbpedia.org/ontology/birthPlace> ?result . ?v4 <http://dbpedia.org/ontology/birthPlace> ?result . ?v0 <http://dbpedia.org/property/timeZone> <http://dbpedia.org/resource/Central_European_Time> . ?v1 <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Emir_Hadžihafizbegović> . },"```
SELECT ?country WHERE {
  ?country <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country>.
  ?country <http://dbpedia.org/property/timeZone> <http://dbpedia.org/resource/Central_European_Time>.
  <http://dbpedia.org/resource/Canicosa_de_la_Sierra> <http://dbpedia.org/ontology/timeZone> <http://dbpedia.org/resource/Central_European_Time>
}
```",6,8,7,3,3,3,3,71,0,0,1,0,0.0,0
433,63,test,"Give me the associated musical artist of the person born, that is a musical artist and an artist, as the persona of Paul Chambers and associated musical artist of the associated musical artist, that is an artist and a musical artist, of Scott LaFaro and professional in the profession of Bob Marley.",SELECT ?result WHERE { <http://dbpedia.org/resource/Scott_LaFaro> <http://dbpedia.org/ontology/associatedMusicalArtist> ?v6 . ?v3 <http://dbpedia.org/property/birthName> ?v4 . ?v3 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Artist>. <http://dbpedia.org/resource/Paul_Chambers> <http://xmlns.com/foaf/0.1/givenName> ?v4 . ?v6 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MusicalArtist>. ?v3 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MusicalArtist>. <http://dbpedia.org/resource/Bob_Marley> <http://dbpedia.org/property/occupation> ?v2 . ?result <http://dbpedia.org/property/occupation> ?v2 . ?v3 <http://dbpedia.org/ontology/associatedMusicalArtist> ?result . ?v6 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Artist>. ?v6 <http://dbpedia.org/ontology/associatedMusicalArtist> ?result . },"The SPARQL query to perform these steps would be:

```sparql
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX dbppro: <http://dbpedia.org/ontology/>
SELECT ?associatedMusicalArtist
WHERE {
  ?person a dbppro:Person, dbppro:MusicalArtist;
    dbppro:name ""Paul Laurence Dunbar Chambers Jr."".
  ?person1 a dbppro:Person, dbppro:MusicalArtist;
    dbppro:associatedMusicalArtist ?associatedMusicalArtist1 .
  ?associatedMusicalArtist1 a dbppro:Musician, dbppro:MusicalArtist;
    dbppro:associatedMusicalArtist ?finalAssociatedMusicalArtist .
  ?finalAssociatedMusicalArtist a dbppro:Artist, dbppro:MusicalArtist .
}
```

This query will find the `?associatedMusicalArtist` who is associated with the person born as ""Paul Laurence Dunbar Chambers Jr."" and is also a musical artist. Then it will find the `?finalAssociatedMusicalArtist` associated with this `?associatedMusicalArtist`, ensuring that `?finalAssociatedMusicalArtist` is both an artist and a musical artist.",7,11,8,3,3,3,3,71,0,0,1,0,0.0,0
773,70,test,"Give me the spouse of the father of Charles the Fat and parent of the successor of the child, that is a royalty, of Louis the Pious and parent of the child, that is a royalty, of the father, that is an office holder and a royalty, of Carloman of Bavaria.",SELECT ?result WHERE { ?v0 <http://dbpedia.org/ontology/successor> ?v7 . <http://dbpedia.org/resource/Carloman_of_Bavaria> <http://dbpedia.org/property/father> ?v1 . <http://dbpedia.org/resource/Charles_the_Fat> <http://dbpedia.org/property/father> ?v4 . ?v1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>. ?v1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>. ?result <http://dbpedia.org/ontology/child> ?v7 . ?v3 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>. ?v4 <http://dbpedia.org/ontology/spouse> ?result . ?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>. <http://dbpedia.org/resource/Louis_the_Pious> <http://dbpedia.org/ontology/child> ?v0 . ?v3 <http://dbpedia.org/ontology/parent> ?result . ?v3 <http://dbpedia.org/property/father> ?v1 . },"SELECT ?result
WHERE {
  <http://dbpedia.org/resource/Charles_the_Fat> <http://dbpedia.org/ontology/property/father> <http://dbpedia.org/resource/Louis_the_German> .
  <http://dbpedia.org/resource/Louis_the_German> <http://dbpedia.org/ontology/spouse> ?spouse .
  <http://dbpedia.org/resource/Charles_the_Fat> <http://dbpedia.org/ontology/child> <http://dbpedia.org/resource/Bernard_(son_of_Charles_the_Fat)> .
  <http://dbpedia.org/resource/Bernard_(son_of_Charles_the_Fat)> <http://dbpedia.org/ontology/successor> ?successor .
  ?successor <http://dbpedia.org/ontology/type> <http://dbpedia.org/ontology/Royalty> .
  <http://dbpedia.org/resource/Carloman_of_Bavaria> <http://dbpedia.org/property/father> <http://dbpedia.org/resource/Charles_the_Fat> .
  <http://dbpedia.org/resource/Charles_the_Fat> <http://dbpedia.org/ontology/child> ?carloman .
  ?carloman <http://dbpedia.org/ontology/type> <http://dbpedia.org/ontology/Royalty> .
  <http://dbpedia.org/resource/Louis_the_Pious> <http://dbpedia.org/ontology/child> ?carloman .
  <http://dbpedia.org/resource/Louis_the_Pious> <http://dbpedia.org/ontology/successor> ?successor_of_louis
}
WHERE {
  ?spouse IN N/A
  ?successor_of_louis <http://dbpedia.org/ontology/type> <http://dbpedia.org/ontology/Royalty>
}",8,12,9,3,3,3,3,71,0,0,1,0,0.0,0
976,61,test,"Give me the office of the person born as the birth name of Naci Bostancı and office of the mayor, that is a politician and an office holder and Turkish, of the reference, that is an organisation and a political party and Turkish, to Millet İttifakı.","SELECT ?result WHERE { ?v1 <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Turkey>. ?v0 <http://dbpedia.org/property/office> ?result . ?v4 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>. ?v1 <http://dbpedia.org/property/leader> ?v4 . ?v4 <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Turkey>. ?v4 <http://dbpedia.org/property/office> ?result . <http://dbpedia.org/resource/Naci_Bostancı> <http://dbpedia.org/property/birthName> ?v3 . ?v0 <http://dbpedia.org/property/birthName> ?v3 . ?v1 <http://xmlns.com/foaf/0.1/name> ""Millet İttifakı""@en . ?v1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Organisation>. ?v1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/PoliticalParty>. ?v4 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Politician>. }","The SPARQL query to retrieve the required information would be:

```sparql
SELECT ?office1 ?office2 WHERE {
  <http://dbpedia.org/resource/Naci_Bostanci> <http://dbpedia.org/property/birthName> ?v3 .
  ?v3 <http://dbpedia.org/ontology/office> ?office1 .
  ?office1 a :Politician ; owl:nationality <http://dbpedia.org/ontology/nationality>Turkey .
  ?office1 <http://dbpedia.org/property/office> ?office2 .
  <http://dbpedia.org/resource/Millet_Ittifakı> a :PoliticalParty ; owl:country <http://dbpedia.org/resource/Turkey> .
  ?office2 a :Mayor .
}
```

This query:
- Selects the offices (`?office1` and `?office2`) of Mehmet Naci Bostancı and the mayor (`?office2`) who is a politician, office holder, and Turkish.
- Links Mehmet Naci Bostancı to his birth name using `http://dbpedia.org/property/birthName`.
- Ensures that the selected office (`?office1`) is associated with being a Politician and having nationality Turkey.
- Connects this office to another office (`?office2`, representing the mayor's office) using the property `http://dbpedia.org/property/office`.
- Links Millet İttifakı to Turkey as required.",6,12,7,3,2,3,3,71,0,0,1,0,0.0,0
281,24,test,"Give me the awardee of the award of Alfred Warden and awardee of the award, that is a military conflict, of Lawrence Moore Cosgrave.",SELECT ?result WHERE { ?result <http://dbpedia.org/property/awards> ?v0 . <http://dbpedia.org/resource/Lawrence_Moore_Cosgrave> <http://dbpedia.org/property/awards> ?v2 . <http://dbpedia.org/resource/Alfred_Warden> <http://dbpedia.org/property/awards> ?v0 . ?v2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MilitaryConflict>. ?result <http://dbpedia.org/property/awards> ?v2 . },"SELECT ?result1 ?awardee2
WHERE {
  ?result1 <http://dbpedia.org/property/awards> ""Alfred Warden"" .
  ?result1 <http://dbpedia.org/ontology/battle> ?battle .
  ?battle <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MilitaryConflict>
  ?awardee2 <http://dbpedia.org/property/awards> ?conflict_award .
  ?conflict_award <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MilitaryConflict>
}",4,5,5,2,2,2,3,28,0,0,1,0,0.0,0
917,60,test,"Give me the parent of the child, that is a royalty, of the mayor of Hawaiian Kingdom and child of the father of the child, that is a royalty, of Kamehameha III.",SELECT ?result WHERE { <http://dbpedia.org/resource/Hawaiian_Kingdom> <http://dbpedia.org/property/leader> ?v4 . ?v5 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>. <http://dbpedia.org/resource/Kamehameha_III> <http://dbpedia.org/ontology/child> ?v5 . ?result <http://dbpedia.org/ontology/child> ?v2 . ?v2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>. ?v5 <http://dbpedia.org/property/father> ?v0 . ?result <http://dbpedia.org/property/father> ?v0 . ?v2 <http://dbpedia.org/property/father> ?v4 . },"```
SELECT ?result WHERE {
  ?mayor <http://dbpedia.org/property/father> ?v3 .
  ?v3 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>.
  
  ?child <http://dbpedia.org/ontology/child> ?v1 .
  ?child <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>.
  
  ?v1 <http://dbpedia.org/property/father> ?father_of_child .
  ?father_of_child <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>.

  ?father_of_child IN (
    <http://dbpedia.org/resource/Kamehameha_IV>
  )
}
```

This query first finds the father (`?v3`) of the mayor, checks if he is a royalty (`<http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>`), then identifies the child (`?child`) of this mayor who is also a royalty. Finally, it traces back to find the father (`?father_of_child`) of this child and ensures he is a royalty.",6,8,7,3,2,3,3,71,0,0,2,0,0.0,0
