id,subid,split,question,sparql,generated_sparql,num_edges,num_edges_full,num_nodes,depth,breadth,base_depth,base_breadth,subgraphs,TP,FP,FN,Precision,Recall,F1
392,21,test,"Give me the region of Central European Time and entity in Italy and province of the residence, that is a settlement and Italian, of Sebastiano Bianchetti.",SELECT ?result WHERE { ?v1 <http://dbpedia.org/ontology/province> ?result . ?v1 <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Italy>. ?result <http://dbpedia.org/ontology/timeZone> <http://dbpedia.org/resource/Central_European_Time> . ?v1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>. ?result <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Italy> . <http://dbpedia.org/resource/Sebastiano_Bianchetti> <http://dbpedia.org/property/residence> ?v1 . },"```sparql
SELECT ?region ?residence ?province WHERE {
  OPTIONAL {
    <http://dbpedia.org/resource/Central_European_Time> <http://www.w3.org/2006/time#during> ?timeZone .
    ?timeZone <http://dbpedia.org/ontology/country> ?country .
    ?country <http://dbpedia.org/ontology/administrativeTerritory> ?region .
  }
  
  OPTIONAL {
    <http://dbpedia.org/resource/Sebastiano_Bianchetti> <http://dbpedia.org/ontology/residence> ?residence .
    FILTER (lang(?residence) = 'it' && ?residence a <http://dbpedia.org/class/yago/SettlementsInItaly>)
  }
  
  OPTIONAL {
    ?residence <http://dbpedia.org/property/province> ?province .
  }
}
```",4,6,5,2,3,2,3,28,0,0,1,0,0.0,0
421,24,test,Give me the person born as the birth name of Dino Merlin and native of the birthplace of Samir Bekrić.,SELECT ?result WHERE { ?result <http://dbpedia.org/ontology/birthPlace> ?v2 . <http://dbpedia.org/resource/Dino_Merlin> <http://dbpedia.org/property/birthName> ?v1 . ?result <http://dbpedia.org/property/birthName> ?v1 . <http://dbpedia.org/resource/Samir_Bekrić> <http://dbpedia.org/ontology/birthPlace> ?v2 . },"```sparql
SELECT ?person WHERE {
  # Find person born as Dino Merlin
  OPTIONAL { 
    ?person <http://dbpedia.org/ontology/birthName> ""Dino Merlin"" .
  }
  
  # Find native of Samir Bekrić's birthplace
  OPTIONAL {
    <http://dbpedia.org/resource/Samir_Bekrić> <http://dbpedia.org/ontology/birthPlace> ?birthPlace .
    ?person <http://dbpedia.org/ontology/nativePlace> ?birthPlace .
  }
  
  # Ensure both conditions are met
  FILTER(?person != ?person)
}
```",4,4,5,2,2,2,3,28,0,0,1,0,0.0,0
427,55,test,"Give me the party of the person born, that is an office holder and a politician, as Romano Antonio Prodi and reference to the name of Italian People's Party (1994) and party of the father of Lamberto Andreotti.","SELECT ?result WHERE { ?v2 <http://dbpedia.org/property/birthName> ""Romano Antonio Prodi""@en . ?v2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>. <http://dbpedia.org/resource/Lamberto_Andreotti> <http://dbpedia.org/property/father> ?v5 . ?v2 <http://dbpedia.org/ontology/party> ?result . ?v5 <http://dbpedia.org/ontology/party> ?result . ?result <http://xmlns.com/foaf/0.1/name> ?v3 . ?v2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Politician>. <http://dbpedia.org/resource/Italian_People's_Party_(1994)> <http://xmlns.com/foaf/0.1/name> ?v3 . }","```sparql
SELECT ?prodiParty ?ipepReference ?fatherParty WHERE {
  # Party of Romano Prodi
  OPTIONAL {
    <http://dbpedia.org/resource/Romano_Prodi> <http://dbpedia.org/ontology/politicalAffiliation> ?prodiParty .
    FILTER EXISTS { 
      <http://dbpedia.org/resource/Romano_Prodi> <http://www.w3.org/2002/07/owl#sameAs> <http://dbpedia.org/resource/Category:Office_holders> .
      <http://dbpedia.org/resource/Romano_Prodi> <http://dbpedia.org/ontology/politician> [] .
    }
  }

  # Reference to Italian People's Party (1994)
  OPTIONAL {
    ?ipepReference <http://www.w3.org/2000/01/rdf-schema#label> ""Italian People's Party (1994)""@en .
  }

  # Party of Lamberto Andreotti's Father
  OPTIONAL {
    <http://dbpedia.org/resource/Lamberto_Andreotti> <http://xmlns.com/foaf/0.1/familyName> ?fatherName .
    ?father <http://xmlns.com/foaf/0.1/name> ?fatherName .
    ?father <http://dbpedia.org/ontology/politicalAffiliation> ?fatherParty .
  }
}
```",6,8,7,2,3,3,3,71,1,0,0,1.0,1.0,1.0
996,19,test,Give me the force of the awardee of 1778.0 and entity in the award of the native of Palestine (region).,"SELECT ?result WHERE { ?v2 <http://dbpedia.org/property/awards> ""1778.0""^^<http://www.w3.org/2001/XMLSchema#double> . ?result <http://dbpedia.org/ontology/place> ?v4 . ?v0 <http://dbpedia.org/property/awards> ?v4 . ?v0 <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Palestine_(region)> . ?result <http://dbpedia.org/ontology/commander> ?v2 . }","```sparql
SELECT ?force ?awardEntity WHERE {
  OPTIONAL {
    ?awardee <http://dbpedia.org/ontology/year> ""1778"" .
    ?awardee <http://dbpedia.org/property/force> ?force .
  }
  
  OPTIONAL {
    ?person <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Palestine_(region)> .
    ?award <http://dbpedia.org/ontology/recipient> ?person .
    ?award <http://dbpedia.org/property/entity> ?awardEntity .
  }
}
```",5,5,6,3,2,3,2,20,0,0,4,0,0.0,0
184,64,test,"Give me the parent of the child of the parent of Archduchess Margaret of Austria (born 1925) and parent of the native of the landmark at elevation, that is a settlement, of 96.0 and child of Archduke Joseph August of Austria.","SELECT ?result WHERE { ?result <http://dbpedia.org/ontology/child> ?v2 . ?result <http://dbpedia.org/property/father> <http://dbpedia.org/resource/Archduke_Joseph_August_of_Austria> . ?v3 <http://dbpedia.org/ontology/elevation> ""96.0""^^<http://www.w3.org/2001/XMLSchema#double> . ?v2 <http://dbpedia.org/ontology/birthPlace> ?v3 . ?v0 <http://dbpedia.org/ontology/child> <http://dbpedia.org/resource/Archduchess_Margaret_of_Austria_(born_1925)> . ?v3 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>. ?result <http://dbpedia.org/ontology/child> ?v1 . ?v1 <http://dbpedia.org/property/father> ?v0 . }","```sparql
SELECT ?commonParent WHERE {
  # Step 1 & 2: Archduchess Margaret's parent and their child
  OPTIONAL { 
    <http://dbpedia.org/resource/Margaret_of_Austria_(1925)> <http://www.w3.org/2006/vcard/ns#hasParent> ?parentMargaret .
    ?parentMargaret <http://www.w3.org/2006/vcard/ns#hasChild> ?childOfParentMargaret .
  }

  # Step 3: Parent of the child from step 2
  OPTIONAL {
    ?childOfParentMargaret <http://www.w3.org/2006/vcard/ns#hasParent> ?parentOfChild .
  }

  # Step 4 & 5: Archduke Joseph August's child and native landmark at elevation 96.0
  OPTIONAL {
    <http://dbpedia.org/resource/Joseph_August_of_Austria> <http://www.w3.org/2006/vcard/ns#hasChild> ?childJosephAugust .
  }

  OPTIONAL {
    ?settlement a <http://dbpedia.org/ontology/Settlement> ;
                <http://dbpedia.org/property/elevation> ""96.0""^^<http://www.w3.org/2001/XMLSchema#float> .
    ?native <http://dbpedia.org/ontology/nationality> ?settlement .
    ?childJosephAugust <http://www.w3.org/2006/vcard/ns#hasParent> ?parentOfNative .
  }

  # Step 7: Find common parent
  FILTER (?parentOfChild = ?parentOfNative)
  BIND(?parentOfChild AS ?commonParent)
}
```",7,8,8,3,3,3,3,71,0,0,1,0,0.0,0
492,46,test,"Give me the person decedent at the work of the author of French Algeria and commander in the war, that is a military conflict and an event, of Frédéric-Georges Herr.",SELECT ?result WHERE { ?v4 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Event>. ?v1 <http://dbpedia.org/property/author> ?v2 . ?result <http://dbpedia.org/ontology/deathPlace> ?v1 . ?v4 <http://dbpedia.org/ontology/commander> ?result . <http://dbpedia.org/resource/French_Algeria> <http://dbpedia.org/property/author> ?v2 . <http://dbpedia.org/resource/Frédéric-Georges_Herr> <http://dbpedia.org/ontology/battle> ?v4 . ?v4 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MilitaryConflict>. },"```sparql
SELECT ?decedent WHERE {
  # Step 1: Find the author of ""French Algeria""
  ?author <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/French_Algeria_(book)> .

  # Step 2: Identify works associated with this author
  ?work <http://dbpedia.org/property/creator> ?author .
  
  # Step 3: Find the person decedent at these works
  OPTIONAL { 
    ?decedent <http://dbpedia.org/ontology/deathPlace> ?work .
  }

  # Step 4: Identify the military conflict and event commanded by Frédéric-Georges Herr
  ?conflict <http://dbpedia.org/property/commander> <http://dbpedia.org/resource/Frédéric-Georges_Herr> .

  # Step 5: Find the commander of this conflict
  OPTIONAL {
    ?commander <http://dbpedia.org/ontology/commander> ?conflict .
  }

  # Ensure decedent is also the commander in the war
  FILTER (?decedent = ?commander)
}
```",5,7,6,3,2,3,3,71,0,0,1,0,0.0,0
427,20,test,Give me the reference to Partito Popolare Italiano and party of the father of Lamberto Andreotti.,"SELECT ?result WHERE { ?v2 <http://dbpedia.org/ontology/party> ?result . <http://dbpedia.org/resource/Lamberto_Andreotti> <http://dbpedia.org/property/father> ?v2 . ?result <http://xmlns.com/foaf/0.1/name> ""Partito Popolare Italiano""@en . }","```sparql
SELECT ?reference ?party WHERE {
  OPTIONAL { 
    <http://dbpedia.org/resource/Partito_Popolare_Italiano> <http://xmlns.com/foaf/0.1/page> ?reference .
  }
  OPTIONAL {
    <http://dbpedia.org/resource/Lamberto_Andreotti> <http://dbpedia.org/ontology/father> ?father .
    ?father <http://dbpedia.org/property/politicalParty> ?party .
  }
}
```",3,3,4,2,2,3,3,71,0,0,1,0,0.0,0
747,61,test,"Give me the band of the person born as the persona of Shèna and band of the writer of the work, that is a song, of Amba Shepherd.",SELECT ?result WHERE { ?v0 <http://dbpedia.org/property/writer> <http://dbpedia.org/resource/Amba_Shepherd> . ?v3 <http://dbpedia.org/property/birthName> ?v1 . ?v5 <http://dbpedia.org/ontology/associatedMusicalArtist> ?result . ?v0 <http://dbpedia.org/property/writer> ?v5 . <http://dbpedia.org/resource/Shèna> <http://xmlns.com/foaf/0.1/givenName> ?v1 . ?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Song>. ?v3 <http://dbpedia.org/ontology/associatedMusicalArtist> ?result . },"```sparql
SELECT ?bandShena ?bandAuthor WHERE {
  OPTIONAL {
    # Band of the person born as Shèna
    ?shena <http://dbpedia.org/ontology/birthName> ""Shèna"" .
    ?shena <http://dbpedia.org/property/associatedMusicalArtist> ?bandShena .
  }
  
  OPTIONAL {
    # Band of the writer of a song by Amba Shepherd
    ?song <http://purl.org/dc/terms/creator> ?author .
    ?song <http://www.w3.org/2002/07/owl#sameAs> <http://dbpedia.org/resource/Amba_Shepherd> .
    ?author <http://dbpedia.org/property/associatedMusicalArtist> ?bandAuthor .
  }
}
```",6,7,7,3,2,3,3,71,0,0,1,0,0.0,0
328,44,test,"Give me the awardee of Order of Suvorov and commander in the force of Ferenc Szálasi and leader of the office, that is a government agency, of Joseph Stalin.",SELECT ?result WHERE { ?v4 <http://dbpedia.org/ontology/commander> <http://dbpedia.org/resource/Ferenc_Szálasi> . ?result <http://dbpedia.org/property/awards> <http://dbpedia.org/resource/Order_of_Suvorov> . <http://dbpedia.org/resource/Joseph_Stalin> <http://dbpedia.org/property/office> ?v2 . ?v4 <http://dbpedia.org/ontology/commander> ?result . ?v2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/GovernmentAgency>. ?v2 <http://dbpedia.org/ontology/leader> ?result . },"```sparql
SELECT ?awardee ?commander ?leader WHERE {
  OPTIONAL {
    ?order <http://dbpedia.org/ontology/recipient> ?awardee .
    FILTER (STR(?order) = ""Order_of_Suvorov"")
  }
  
  OPTIONAL {
    ?szalasi <http://dbpedia.org/ontology/commandedBy> ?commander .
    FILTER (STR(?szalasi) = ""Ferenc_Szálasi"")
  }

  OPTIONAL {
    ?stalinOffice <http://dbpedia.org/ontology/leader> ?leader .
    ?stalinOffice <http://www.w3.org/2002/07/owl#sameAs> ?governmentAgency .
    FILTER (STR(?stalinOffice) = ""Joseph_Stalin"")
    FILTER (STR(?governmentAgency) IN (""Government_agency""))
  }
}
```",5,6,6,2,3,3,3,71,0,0,1,0,0.0,0
294,28,test,"Give me the resting place of the architect of P. D. Houston Jr. House and entity in the birth place, that is a settlement, of Marion James and resting place of the awardee, that is a politician, of Distinguished Service Medal (U.S. Army).",SELECT ?result WHERE { ?v1 <http://dbpedia.org/ontology/restingPlace> ?result . ?result <http://dbpedia.org/ontology/location> ?v5 . ?v3 <http://dbpedia.org/ontology/restingPlace> ?result . ?v1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Politician>. <http://dbpedia.org/resource/P._D._Houston_Jr._House> <http://dbpedia.org/ontology/architect> ?v3 . ?v5 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>. <http://dbpedia.org/resource/Marion_James> <http://dbpedia.org/ontology/birthPlace> ?v5 . ?v1 <http://dbpedia.org/property/awards> <http://dbpedia.org/resource/Distinguished_Service_Medal_(U.S._Army)> . },"```sparql
SELECT ?architectRestingPlace ?marionEntity ?politicianRestingPlace WHERE {
  # Part 1: Resting place of the architect of P.D. Houston Jr. House
  OPTIONAL {
    <http://dbpedia.org/resource/P._D._Houston_Jr._House> <http://dbpedia.org/ontology/architect> ?architect .
    ?architect <http://dbpedia.org/ontology/deathPlace> ?deathPlace .
    ?deathPlace <http://dbpedia.org/ontology/burialPlace> ?architectRestingPlace .
  }

  # Part 2: Entity in the birthplace, that is a settlement, of Marion James
  OPTIONAL {
    <http://dbpedia.org/resource/Marion_James> <http://dbpedia.org/ontology/birthPlace> ?birthPlace .
    ?birthPlace <http://www.w3.org/2006/vcard/ns#hasAddress> ?address .
    ?address <http://purl.org/dc/terms/type> ""Settlement"" .
    ?birthPlace ?property ?marionEntity .
  }

  # Part 3: Resting place of the awardee, that is a politician, of Distinguished Service Medal (U.S. Army)
  OPTIONAL {
    ?politician <http://dbpedia.org/ontology/politicalParty> ?party .
    ?awards <http://dbpedia.org/property/recipient> ?politician .
    ?awards <http://dbpedia.org/property/award> <http://dbpedia.org/resource/Distinguished_Service_Medal_(U.S._Army)> .
    ?politician <http://dbpedia.org/ontology/deathPlace> ?deathPlace .
    ?deathPlace <http://dbpedia.org/ontology/burialPlace> ?politicianRestingPlace .
  }
}
```",6,8,7,2,3,2,3,28,0,0,1,0,0.0,0
