id,subid,split,question,sparql,generated_sparql,num_edges,num_edges_full,num_nodes,depth,breadth,base_depth,base_breadth,subgraphs,TP,FP,FN,Precision,Recall,F1
158,28,test,"Give me the native of the administration of Alexander II, Grand Duke of Finland and person decedent at the birthplace, that is a country, of Sandro Bertaggia and native of the administration, that is a country, of Nicholas II of Russia.","SELECT ?result WHERE { ?result <http://dbpedia.org/ontology/birthPlace> ?v5 . ?result <http://dbpedia.org/ontology/deathPlace> ?v1 . ?result <http://dbpedia.org/ontology/birthPlace> ?v3 . <http://dbpedia.org/resource/Sandro_Bertaggia> <http://dbpedia.org/ontology/birthPlace> ?v1 . ?v3 <http://dbpedia.org/property/leader> <http://dbpedia.org/resource/Alexander_II,_Grand_Duke_of_Finland> . ?v1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country>. ?v5 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country>. ?v5 <http://dbpedia.org/property/leader> <http://dbpedia.org/resource/Nicholas_II_of_Russia> . }","SELECT DISTINCT ?result WHERE {
  OPTIONAL {
    ?v0 <http://dbpedia.org/ontology/administration> ?v1 .
    ?v1 <http://www.w3.org/2002/07/owl#sameAs> <http://dbpedia.org/resource/Alexander_II,_Grand_Duke_of_Finland> .
    ?result <http://dbpedia.org/ontology/nativeOf> ?v0 .
  }
  OPTIONAL {
    <http://dbpedia.org/resource/Sandro_Bertaggia> <http://dbpedia.org/ontology/birthPlace> ?v2 .
    ?v2 <http://www.w3.org/2002/07/owl#sameAs> ?v3 .
    ?v3 <http://www.w3.org/2000/01/rdf-schema#seeAlso> ?v4 .
    ?result <http://dbpedia.org/ontology/deathPlace> ?v4 .
  }
  OPTIONAL {
    ?v5 <http://dbpedia.org/ontology/administration> ?v6 .
    ?v6 <http://www.w3.org/2002/07/owl#sameAs> <http://dbpedia.org/resource/Nicholas_II_of_Russia> .
    ?result <http://dbpedia.org/ontology/nativeOf> ?v5 .
  }
}",6,8,7,2,3,2,3,28,0,0,1,0,0.0,0
668,67,test,"Give me the person born as the birth name of the native, that is an artist, of Central Region, Ghana and professional in the profession of the writer, that is a musical artist, of The Live Anthology and associated musical artist of $pacely.","SELECT ?result WHERE { ?result <http://dbpedia.org/property/birthName> ?v3 . ?v0 <http://dbpedia.org/property/occupation> ?v6 . ?v1 <http://dbpedia.org/property/birthName> ?v3 . ?v1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Artist>. ?v1 <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Central_Region,_Ghana> . <http://dbpedia.org/resource/$pacely> <http://dbpedia.org/ontology/associatedMusicalArtist> ?result . <http://dbpedia.org/resource/The_Live_Anthology> <http://dbpedia.org/property/writer> ?v0 . ?result <http://dbpedia.org/property/occupation> ?v6 . ?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MusicalArtist>. }","```sparql
SELECT ?person WHERE {
  # Step 1: Find an artist native to Central Region, Ghana
  ?artist <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Ghana> .
  ?artist <http://dbpedia.org/ontology/placeOfBirth> <http://dbpedia.org/resource/Central_Region,_Ghana> .
  ?artist <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Artist> .

  # Step 2: Get the birth name of that artist
  ?artist <http://dbpedia.org/property/birthName> ?birthName .

  # Step 3: Find a writer associated with ""The Live Anthology""
  ?writer <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/The_Live_Anthology> .
  ?writer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MusicalArtist> .

  # Step 4: Determine the profession of that writer
  ?writer <http://dbpedia.org/property/profession> ?profession .

  # Step 5: Find a musical artist associated with $pacely who shares the same profession
  ?musicalArtist <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/$pacely> .
  ?musicalArtist <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MusicalArtist> .
  ?musicalArtist <http://dbpedia.org/property/profession> ?profession .

  # Find the person born with the birth name identified in step 2
  ?person <http://dbpedia.org/property/birthName> ?birthName .
}
```",7,9,8,3,3,3,3,71,0,0,1,0,0.0,0
361,28,test,"Give me the professional in the alter ego of The Shadow and actor of the album, that is a film and a work, of Lasso the Moon and professional in the profession of Frédéric Bouraly.",SELECT ?result WHERE { ?v5 <http://dbpedia.org/ontology/starring> ?result . <http://dbpedia.org/resource/Frédéric_Bouraly> <http://dbpedia.org/property/occupation> ?v1 . ?result <http://dbpedia.org/property/occupation> ?v3 . ?result <http://dbpedia.org/property/occupation> ?v1 . <http://dbpedia.org/resource/Lasso_the_Moon> <http://dbpedia.org/ontology/album> ?v5 . ?v5 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Work>. ?v5 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>. <http://dbpedia.org/resource/The_Shadow> <http://dbpedia.org/property/alterEgo> ?v3 . },"SELECT DISTINCT ?result WHERE {
  OPTIONAL {
    <http://dbpedia.org/resource/The_Shadow> <http://dbpedia.org/ontology/alterEgo> ?v0 .
    ?v0 <http://dbpedia.org/ontology/profession> ?result .
  }
  OPTIONAL {
    ?v1 <http://dbpedia.org/property/film> ""Lasso the Moon""@en .
    ?v1 <http://dbpedia.org/ontology/album> ?v2 .
    ?v2 <http://dbpedia.org/ontology/actor> ?result .
  }
  OPTIONAL {
    <http://dbpedia.org/resource/Frédéric_Bouraly> <http://dbpedia.org/ontology/profession> ?v3 .
    ?result <http://dbpedia.org/ontology/profession> ?v3 .
  }
}",6,8,7,2,3,2,3,28,0,0,2,0,0.0,0
595,69,test,"Give me the commander in the war, that is a disease and a societal event, of the owner of USS Arcadia (ID-1605) and author of the work, that is a written work and a book and a work, of Bill Clinton and spouse of the author, that is a politician and an office holder, of the work, that is a book and a written work, of Hillary Clinton.",SELECT ?result WHERE { ?v7 <http://dbpedia.org/property/author> <http://dbpedia.org/resource/Bill_Clinton> . ?v7 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book>. ?v4 <http://dbpedia.org/property/author> ?v3 . ?v3 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>. ?v7 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Work>. ?v4 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/WrittenWork>. ?v7 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/WrittenWork>. ?v3 <http://dbpedia.org/ontology/spouse> ?result . ?v1 <http://dbpedia.org/ontology/battle> ?v2 . ?v2 <http://dbpedia.org/ontology/commander> ?result . ?v3 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Politician>. ?v2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Disease>. ?v7 <http://dbpedia.org/property/author> ?result . <http://dbpedia.org/resource/USS_Arcadia_(ID-1605)> <http://dbpedia.org/ontology/owner> ?v1 . ?v4 <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Hillary_Clinton> . ?v2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/SocietalEvent>. ?v4 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book>. },"```sparql
SELECT ?result WHERE {
  # Step 1: Find the owner of USS Arcadia (ID-1605)
  <http://dbpedia.org/resource/USS_Arcadia_(ID-1605)> <http://dbpedia.org/ontology/owner> ?owner .

  # Step 2: Identify a war that is both a disease and societal event involving this owner
  ?war <http://dbpedia.org/ontology/war> ?disease .
  ?war <http://dbpedia.org/ontology/societalEvent> ?societalEvent .
  ?owner <http://dbpedia.org/ontology/involvementInWar> ?war .

  # Step 3: Determine the commander in this war
  ?war <http://dbpedia.org/ontology/commander> ?commander .

  # Step 4: Identify works authored by Bill Clinton that are books or written works
  ?work1 <http://dbpedia.org/property/author> <http://dbpedia.org/resource/Bill_Clinton> .
  ?work1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?bookType .
  FILTER(?bookType IN (<http://dbpedia.org/ontology/WrittenWork>, <http://dbpedia.org/ontology/Book>)).
  
  # Step 5: Find the spouse of the author who is also a politician and office holder related to a work authored by Hillary Clinton
  ?work2 <http://dbpedia.org/property/author> <http://dbpedia.org/resource/Hillary_Clinton> .
  ?work2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?bookType2 .
  FILTER(?bookType2 IN (<http://dbpedia.org/ontology/Book>, <http://dbpedia.org/ontology/WrittenWork>)).
  
  ?spouse <http://dbpedia.org/ontology/spouse> ?author .
  ?author <http://dbpedia.org/property/author> ?work1 .
  ?spouse <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?politicianType .
  FILTER(?politicianType IN (<http://dbpedia.org/ontology/Politician>, <http://dbpedia.org/ontology/OfficeHolder>)).
  
  # Result: The commander in the war
  BIND(?commander AS ?result)
}
```",8,17,9,3,3,3,3,71,0,0,1,0,0.0,0
595,70,test,"Give me the spouse of the author, that is a politician and an office holder, of An Invitation to the White House and commander in the war, that is a disease and a societal event, of the owner of USS Arcadia (ID-1605) and author of the work, that is a written work and a book and a work, of the resident, that is a politician and an office holder, of Chappaqua, New York.","SELECT ?result WHERE { ?v7 <http://dbpedia.org/property/author> ?result . <http://dbpedia.org/resource/An_Invitation_to_the_White_House> <http://dbpedia.org/property/author> ?v4 . ?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>. ?v4 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>. ?v3 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Disease>. ?v1 <http://dbpedia.org/ontology/battle> ?v3 . ?v4 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Politician>. ?v0 <http://dbpedia.org/ontology/residence> <http://dbpedia.org/resource/Chappaqua,_New_York> . <http://dbpedia.org/resource/USS_Arcadia_(ID-1605)> <http://dbpedia.org/ontology/owner> ?v1 . ?v7 <http://dbpedia.org/property/author> ?v0 . ?v3 <http://dbpedia.org/ontology/commander> ?result . ?v7 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Work>. ?v3 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/SocietalEvent>. ?v7 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/WrittenWork>. ?v0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Politician>. ?v4 <http://dbpedia.org/ontology/spouse> ?result . ?v7 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book>. }","SELECT ?result WHERE {
  ?author <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/An_Invitation_to_the_White_House> .
  ?author <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> (<http://dbpedia.org/ontology/Politician> <http://dbpedia.org/ontology/OfficeHolder>) .
  ?spouse <http://dbpedia.org/ontology/spouse> ?author .
  
  ?owner <http://dbpedia.org/property/owner> <http://dbpedia.org/resource/USS_Arcadia_(ID-1605)> .
  ?disease <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> (<http://dbpedia.org/ontology/Disease> <http://dbpedia.org/ontology/SocietalEvent>) .
  ?commander <http://dbpedia.org/property/commander> ?disease .
  
  ?resident <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> (<http://dbpedia.org/ontology/Politician> <http://dbpedia.org/ontology/OfficeHolder>) .
  ?resident <http://dbpedia.org/property/residence> <http://dbpedia.org/resource/Chappaqua,_New_York> .
  ?work <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> (<http://dbpedia.org/ontology/WrittenWork> <http://dbpedia.org/ontology/Book>) .
  ?work <http://dbpedia.org/property/author> ?resident .
  
  FILTER (?spouse = ?commander && ?commander = ?result)
}",8,17,9,3,3,3,3,71,0,0,1,0,0.0,0
353,69,test,"Give me the child of the child of the spouse, that is a royalty, of Constance of Burgundy and father of the child, that is a royalty, of William I of Sicily and child of the parent of the child, that is a royalty, of Roger II of Sicily.",SELECT ?result WHERE { ?v2 <http://dbpedia.org/property/father> ?v1 . ?v1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>. ?v4 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>. ?v1 <http://dbpedia.org/ontology/spouse> <http://dbpedia.org/resource/Constance_of_Burgundy> . ?v4 <http://dbpedia.org/ontology/parent> <http://dbpedia.org/resource/Roger_II_of_Sicily> . ?v3 <http://dbpedia.org/ontology/child> ?v4 . ?v3 <http://dbpedia.org/ontology/child> ?result . ?v7 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>. ?v7 <http://dbpedia.org/property/father> ?result . ?v2 <http://dbpedia.org/ontology/child> ?result . ?v7 <http://dbpedia.org/property/father> <http://dbpedia.org/resource/William_I_of_Sicily> . },"SELECT ?result WHERE {
  # Step 1: Find the spouse of Constance of Burgundy who is royalty
  <http://dbpedia.org/resource/Constance_of_Burgundy> <http://dbpedia.org/ontology/spouse> ?spouse .
  ?spouse <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty> .

  # Step 2: Find the child of this spouse
  ?spouse <http://dbpedia.org/ontology/child> ?child1 .

  # Step 3: Find the grandchild (child of the child) of this spouse
  ?child1 <http://dbpedia.org/ontology/child> ?grandchild .

  # Step 4: Identify the father of the child who is royalty and a child of William I of Sicily
  ?child2 <http://dbpedia.org/ontology/father> ?father .
  ?child2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty> .
  ?child2 <http://dbpedia.org/property/parent> <http://dbpedia.org/resource/Wilhelm_I._von_Sizilien> .

  # Step 5: Find the parent of the child who is royalty and a child of Roger II of Sicily
  ?child3 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty> .
  ?parent <http://dbpedia.org/property/parent> ?child3 .
  ?child3 <http://dbpedia.org/property/parent> <http://dbpedia.org/resource/Roger_II._von_Sizilien> .

  # Step 6: Find common entities
  FILTER (?grandchild = ?father && ?grandchild = ?parent)
  BIND(?grandchild AS ?result)
}",8,11,9,3,3,3,3,71,0,0,1,0,0.0,0
706,20,test,"Give me the birthplace of the actor of the movie, that is a movie and Indian, with Dipankar De and birthplace of the awardee of the reference to Sangeet Natak Akademi Fellowship.","SELECT ?result WHERE { ?v2 <http://dbpedia.org/property/awards> ?v1 . ?v2 <http://dbpedia.org/ontology/birthPlace> ?result . ?v1 <http://xmlns.com/foaf/0.1/name> ""Sangeet Natak Akademi Fellowship""@en . ?v4 <http://dbpedia.org/property/starring> ?v5 . ?v4 <http://dbpedia.org/property/starring> <http://dbpedia.org/resource/Dipankar_De> . ?v4 <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/India>. ?v4 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>. ?v5 <http://dbpedia.org/ontology/birthPlace> ?result . }","SELECT DISTINCT ?result WHERE {
  OPTIONAL {
    ?movie <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Dipankar_De> .
    ?movie <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Movie> .
    ?movie <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/India> .
    ?actor <http://dbpedia.org/ontology/starring> ?movie .
    ?actor <http://dbpedia.org/ontology/birthPlace> ?result .
  }
  
  OPTIONAL {
    ?person <http://dbpedia.org/property/awardee> <http://dbpedia.org/resource/Sangeet_Natak_Akademi_Fellowship> .
    ?person <http://dbpedia.org/ontology/birthPlace> ?result .
  }
}",6,8,7,3,2,3,2,20,0,0,2,0,0.0,0
414,19,test,"Give me the award of the awardee of the reference to Nobel Prize in Physics and show of the host, that is an educational institution, of Nobel Prize in Physics.","SELECT ?result WHERE { ?v2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/EducationalInstitution>. <http://dbpedia.org/resource/Nobel_Prize_in_Physics> <http://dbpedia.org/ontology/presenter> ?v2 . ?result <http://dbpedia.org/ontology/presenter> ?v2 . ?v0 <http://xmlns.com/foaf/0.1/name> ""Nobel Prize in Physics""@en . ?v4 <http://dbpedia.org/property/awards> ?result . ?v4 <http://dbpedia.org/property/awards> ?v0 . }","SELECT ?result WHERE {
  OPTIONAL {
    ?v0 <http://dbpedia.org/property/awards> <http://dbpedia.org/resource/Nobel_Prize_in_Physics> .
    ?v0 <http://purl.org/dc/terms/references> ?result .
  }
  UNION
  {
    ?v1 <http://dbpedia.org/ontology/show> ?result .
    ?v1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/EducationalInstitution> .
    ?v1 <http://purl.org/dc/terms/references> <http://dbpedia.org/resource/Nobel_Prize_in_Physics> .
  }
}",5,6,6,3,2,3,2,20,0,0,2,0,0.0,0
38,20,test,"Give me the author of the work, that is a written work and a work, of the commander, that is an office holder, in Korean conflict and author of the work, that is a work and a written work and American and a book, of the commander, that is an office holder and a politician, in North Carolina Air National Guard.",SELECT ?result WHERE { ?v2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book>. ?v5 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Work>. ?v4 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>. ?v5 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/WrittenWork>. ?v1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Politician>. ?v2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Work>. <http://dbpedia.org/resource/Korean_conflict> <http://dbpedia.org/ontology/commander> ?v4 . ?v2 <http://dbpedia.org/ontology/author> ?result . ?v1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>. <http://dbpedia.org/resource/North_Carolina_Air_National_Guard> <http://dbpedia.org/ontology/commander> ?v1 . ?v5 <http://dbpedia.org/property/author> ?result . ?v2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/WrittenWork>. ?v2 <http://dbpedia.org/property/author> ?v1 . ?v5 <http://dbpedia.org/property/author> ?v4 . ?v2 <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/United_States>. },"SELECT DISTINCT ?result WHERE {
  OPTIONAL {
    ?v0 <http://dbpedia.org/ontology/commander> ?v1 .
    ?v1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder> .
    ?v1 <http://dbpedia.org/property/conflict> ""Korean conflict""@en .
    ?v2 <http://dbpedia.org/ontology/work> ?v0 .
    ?v2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/WrittenWork> .
    ?v2 <http://dbpedia.org/ontology/author> ?result .
  }
  OPTIONAL {
    ?v3 <http://dbpedia.org/ontology/commander> ?v4 .
    ?v4 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder> .
    ?v4 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Politician> .
    ?v5 <http://dbpedia.org/ontology/work> ?v3 .
    ?v5 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/WrittenWork> .
    ?v5 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> .
    ?v5 <http://dbpedia.org/property/country> ""United States""@en .
    ?v5 <http://dbpedia.org/ontology/author> ?result .
  }
}",6,15,7,3,2,3,2,20,0,0,1,0,0.0,0
414,20,test,"Give me the show of the host, that is an educational institution, of the award of Rainer Weiss and award of the awardee of the reference to Nobel Prize in Physics.","SELECT ?result WHERE { ?v5 <http://dbpedia.org/property/awards> ?v4 . <http://dbpedia.org/resource/Rainer_Weiss> <http://dbpedia.org/property/awards> ?v1 . ?v2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/EducationalInstitution>. ?v5 <http://dbpedia.org/property/awards> ?result . ?v4 <http://xmlns.com/foaf/0.1/name> ""Nobel Prize in Physics""@en . ?result <http://dbpedia.org/ontology/presenter> ?v2 . ?v1 <http://dbpedia.org/ontology/presenter> ?v2 . }","SELECT DISTINCT ?result WHERE {
  OPTIONAL { 
    <http://dbpedia.org/resource/Rainer_Weiss> <http://dbpedia.org/ontology/award> ?v0 .
    ?v0 <http://dbpedia.org/property/awardee> ?v1 .
    ?v1 <http://dbpedia.org/ontology/reference> <http://dbpedia.org/resource/Nobel_Prize_in_Physics> .
    ?v2 <http://dbpedia.org/ontology/award> ?v0 .
    ?v3 <http://dbpedia.org/ontology/award> ?v4 .
    ?v1 <http://dbpedia.org/property/awardee> ?v5 .
    ?v5 <http://dbpedia.org/ontology/reference> <http://dbpedia.org/resource/Nobel_Prize_in_Physics> .
    ?v2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/EducationalInstitution> .
    ?v3 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/EducationalInstitution> .
    FILTER (?v2 = ?v3)
    ?v2 <http://dbpedia.org/property/show> ?result .
  }
}",6,7,7,3,2,3,2,20,0,0,3,0,0.0,0
